Dateline,网上支付,,移动支付,,ATM机,,POS机,,中国银行业IT投资规模,,fintech_mktcap_adjusted,Fintech Index
2015/1/5,401.53,,7.61,,61.49,,1593.5,,742.9734177,,0.053139147,
2015/1/6,405.1264286,0.008916937,8.1845,0.07277895,61.6807,0.003096518,1594.367857,0.000544475,743.3468354,0.000502473,0.053138455,0.027431462
2015/1/7,408.7228571,0.008838128,8.759,0.067839622,61.8714,0.003086959,1595.235714,0.000544179,743.7202532,0.00050222,0.053137763,0.02642666
2015/1/8,412.3192857,0.008760699,9.3335,0.063528335,62.0621,0.003077459,1596.103571,0.000543883,744.0936709,0.000501968,0.053137072,0.025547749
2015/1/9,415.9157143,0.008684615,9.908,0.059732433,62.2528,0.003068018,1596.971429,0.000543587,744.4670886,0.000501716,0.05313638,0.024772189
2015/1/12,419.5121429,0.008609842,10.4825,0.056364688,62.4435,0.003058634,1597.839286,0.000543292,744.8405063,0.000501465,0.053135688,0.024082529
2015/1/13,423.1085714,0.008536345,11.057,0.053356511,62.6342,0.003049307,1598.707143,0.000542997,745.2139241,0.000501214,0.053134997,0.023465044
2015/1/14,426.705,0.008464092,11.6315,0.050653223,62.8249,0.003040037,1599.575,0.000542702,745.5873418,0.000500962,0.053134305,0.02290879
2015/1/15,430.3014286,0.008393052,12.206,0.048210699,63.0156,0.003030823,1600.442857,0.000542408,745.9607595,0.000500712,0.053133614,0.022404938
2015/1/16,433.8978571,0.008323194,12.7805,0.045992938,63.2063,0.003021665,1601.310714,0.000542114,746.3341772,0.000500461,0.053132922,0.021946281
2015/1/19,437.4942857,0.00825449,13.355,0.043970275,63.397,0.003012562,1602.178571,0.00054182,746.7075949,0.000500211,0.053132231,0.02152688
2015/1/20,441.0907143,0.008186911,13.9295,0.042118047,63.5877,0.003003514,1603.046429,0.000541527,747.0810127,0.000499961,0.05313154,0.021141796
2015/1/21,444.6871429,0.00812043,14.504,0.04041558,63.7784,0.00299452,1603.914286,0.000541233,747.4544304,0.000499711,0.053130848,0.020786889
2015/1/22,448.2835714,0.008055019,15.0785,0.038845415,63.9691,0.002985579,1604.782143,0.000540941,747.8278481,0.000499461,0.053130157,0.020458662
2015/1/23,451.88,0.007990654,15.653,0.037392704,64.1598,0.002976692,1605.65,0.000540648,748.2012658,0.000499212,0.053129466,0.020154141
2015/1/26,455.4764286,0.007927309,16.2275,0.036044742,64.3505,0.002967858,1606.517857,0.000540356,748.5746835,0.000498963,0.053128775,0.019870779
2015/1/27,459.0728571,0.007864961,16.802,0.034790593,64.5412,0.002959076,1607.385714,0.000540064,748.9481013,0.000498714,0.053128084,0.019606384
2015/1/28,462.6692857,0.007803586,17.3765,0.033620792,64.7319,0.002950345,1608.253571,0.000539773,749.321519,0.000498465,0.053127393,0.019359059
2015/1/29,466.2657143,0.007743161,17.951,0.032527105,64.9226,0.002941666,1609.121429,0.000539482,749.6949367,0.000498217,0.053126702,0.019127152
2015/1/30,469.8621429,0.007683665,18.5255,0.031502338,65.1133,0.002933038,1609.989286,0.000539191,750.0683544,0.000497969,0.053126011,0.018909219
2015/2/2,473.4585714,0.007625076,19.1,0.030540174,65.304,0.002924461,1610.857143,0.0005389,750.4417722,0.000497721,0.053125321,0.018703994
2015/2/3,477.055,0.007567374,19.6745,0.029635046,65.4947,0.002915933,1611.725,0.00053861,750.8151899,0.000497473,0.05312463,0.018510359
2015/2/4,480.6514286,0.007510538,20.249,0.028782029,65.6854,0.002907455,1612.592857,0.00053832,751.1886076,0.000497226,0.053123939,0.018327324
2015/2/5,484.2478571,0.00745455,20.8235,0.027976747,65.8761,0.002899026,1613.460714,0.00053803,751.5620253,0.000496979,0.053123249,0.018154011
2015/2/6,487.8442857,0.007399391,21.398,0.027215303,66.0668,0.002890646,1614.328571,0.000537741,751.935443,0.000496732,0.053122558,0.017989636
2015/2/9,491.4407143,0.007345042,21.9725,0.026494212,66.2575,0.002882315,1615.196429,0.000537452,752.3088608,0.000496485,0.053121868,0.017833498
2015/2/10,495.0371429,0.007291486,22.547,0.025810348,66.4482,0.002874031,1616.064286,0.000537163,752.6822785,0.000496239,0.053121177,0.017684969
2015/2/11,498.6335714,0.007238704,23.1215,0.025160901,66.6389,0.002865794,1616.932143,0.000536875,753.0556962,0.000495993,0.053120487,0.017543484
2015/2/12,502.23,0.007186682,23.696,0.024543337,66.8296,0.002857605,1617.8,0.000536587,753.4291139,0.000495747,0.053119797,0.017408532
2015/2/13,505.8264286,0.007135402,24.2705,0.023955364,67.0203,0.002849462,1618.667857,0.000536299,753.8025316,0.000495501,0.053119106,0.017279651
2015/2/16,509.4228571,0.007084848,24.845,0.023394904,67.211,0.002841366,1619.535714,0.000536011,754.1759494,0.000495256,0.053118416,0.017156423
2015/2/17,513.0192857,0.007035006,25.4195,0.022860071,67.4017,0.002833316,1620.403571,0.000535724,754.5493671,0.000495011,0.053117726,0.017038467
2015/2/25,516.6157143,0.00698586,25.994,0.022349146,67.5924,0.002825311,1621.271429,0.000535437,754.9227848,0.000494766,0.053117036,0.016925437
2015/2/26,520.2121429,0.006937397,26.5685,0.021860561,67.7831,0.002817351,1622.139286,0.000535151,755.2962025,0.000494521,0.053116346,0.016817015
2015/2/27,523.8085714,0.0068896,27.143,0.021392883,67.9738,0.002809435,1623.007143,0.000534865,755.6696203,0.000494277,0.053115656,0.016712913
