Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2010/9/1,,3.842736,,2.29438,,3.147578,6.522593,,2.109663,,,,9.192786,2.428947,4.164396,4.741658,2.107404,,,4.490921,,6.121197,,3.341016,2.045921,3.772497,
2010/9/2,,3.835983,,2.29438,,3.15494,6.537766,,2.128171,,,,9.233403,2.43345,4.171513,4.768776,2.12902,,,4.594722,,6.097922,,3.382192,2.051718,3.80179,
2010/9/3,,3.795463,,2.31416,,3.125498,6.482126,,2.089308,,,,9.226644,2.415424,4.093268,4.728098,2.139828,,,4.57287,,6.065333,,3.399837,2.069105,3.80179,
2010/9/6,,3.863,,2.360311,,3.21872,6.697104,,2.152228,,,,9.388969,2.455981,4.146614,4.823,2.18846,,,4.632968,,6.27481,,3.464538,2.127063,3.860365,
2010/9/7,,3.835983,,2.340532,,3.19664,6.638931,,2.142976,,,,9.361938,2.446968,4.107495,4.799278,2.199268,,,4.627504,,6.237565,,3.435131,2.121267,3.854507,
2010/9/8,,3.781958,,2.300974,,3.127951,6.401194,,2.085605,,,,9.172512,2.397397,4.057712,4.707766,2.166844,,,4.534625,,6.107233,,3.393955,2.092288,3.82522,
2010/9/9,,3.687405,,2.300974,,3.059257,6.221627,,2.05785,,,,8.949297,2.352335,3.954576,4.589142,2.183056,,,4.605653,,6.009477,,3.417481,2.167634,3.860365,
2010/9/10,,3.646885,,2.300974,,3.046993,6.122995,,2.074503,,,,8.983086,2.352335,3.972357,4.578972,2.183056,,,4.583796,,6.000167,,3.399837,2.196612,3.872085,
2010/9/13,,3.640132,,2.307567,,3.022458,6.130583,,2.067102,,,,8.96957,2.338819,3.986584,4.572193,2.210071,,,4.643893,,6.014132,,3.435131,2.271958,3.954095,
2010/9/14,,3.646885,,2.29438,,3.024913,6.122995,,2.070805,,,,9.037219,2.338819,4.011477,4.575583,2.210071,,,4.671213,,6.028095,,3.48807,2.237183,3.959953,
2010/9/15,,3.55909,,2.268008,,2.936591,5.96113,,2.013434,,,,8.874891,2.298261,3.890566,4.517962,2.18846,,,4.66575,,5.860518,,3.476301,2.254571,3.948238,
2010/9/16,,3.471298,,2.215264,,2.862994,5.794212,,1.961617,,,,8.658434,2.257704,3.801657,4.412898,2.183056,,,4.627504,,5.660358,,3.470419,2.196612,3.924802,
2010/9/17,,3.498313,,2.215264,,2.855632,5.784091,,1.948662,,,,8.692223,2.253194,3.78743,4.392559,2.204672,,,4.632968,,5.585883,,3.499833,2.202408,4.018533,
2010/9/20,,3.498313,,2.208671,,2.880167,5.801798,,1.957919,,,,8.719323,2.253194,3.858557,4.392559,2.199268,,,4.594722,,5.5533,,3.446894,2.173429,3.959953,
2010/9/21,,3.471298,,2.235044,,2.877712,5.870085,,1.957919,,,,8.705808,2.257704,3.83011,4.385779,2.204672,,,4.605653,,5.562609,,3.441012,2.225591,3.94238,
2010/9/27,,3.471298,,2.22845,,2.870357,5.827084,,1.961617,,,,8.685467,2.257704,3.840775,4.382389,2.199268,,,4.638431,,5.581228,,3.470419,2.225591,3.936523,
2010/9/28,,3.40376,,2.202078,,2.794306,5.675338,,1.917205,,,,8.529898,2.239676,3.730529,4.263765,2.183056,,,4.556481,,5.413651,,3.441012,2.231387,3.918945,
2010/9/29,,3.437529,,2.22845,,2.821288,5.667752,,1.920908,,,,8.563687,2.257704,3.737647,4.233263,2.210071,,,4.605653,,5.395033,,3.511596,2.300937,4.000954,
2010/9/30,,3.437529,,2.281194,,2.929235,5.847318,,1.970873,,,,8.759871,2.298261,3.840775,4.392559,2.199268,,,4.583796,,5.581228,,3.399837,2.329916,3.983382,
2010/10/8,,3.579355,,2.31416,,3.024913,6.150815,,2.026388,,,,9.09135,2.347832,4.036368,4.528131,2.285722,,,4.824185,,5.716215,,3.493952,2.416854,4.030248,
2010/10/11,,3.714422,,2.360311,,3.14267,6.423961,,2.09301,,,,9.402485,2.401906,4.118167,4.707766,2.29653,,,4.780482,,5.967584,,3.517477,2.382079,4.088828,
2010/10/12,,3.667148,,2.360311,,3.162296,6.411314,,2.09301,,,,9.361938,2.388389,4.064822,4.731488,2.29653,,,4.824185,,6.004821,,3.48807,2.358895,4.094686,
2010/10/13,,3.802215,,2.511951,,3.280053,6.805857,,2.202194,,,,9.80161,2.43345,4.224851,4.89418,2.35597,,,4.884283,,6.214291,,3.558654,2.341508,4.200125,
2010/10/14,,3.876504,,2.762487,,3.250617,6.831144,,2.211445,,,,9.828641,2.455981,4.278196,4.877231,2.426217,,,5.048186,,6.2236,,3.735115,2.353099,4.323143,
2010/10/15,,4.166909,,3.013023,,3.493494,7.119448,,2.383553,,,,10.302174,2.564137,4.619597,5.168716,2.469445,,,5.151994,,6.642547,,3.75276,2.341508,4.358287,
2010/10/18,,4.193917,,2.973465,,3.562183,7.3142,,2.433519,,,,10.335962,2.613707,4.619597,5.202608,2.44243,,,5.091896,,6.721676,,3.705702,2.312529,4.276278,
