"","WJ","CITIC","GY","EB","SH","BJ","ID.XY.","CS","NJ","HZ","JS","WX","Merchants","MS","HX","PD","BOC","HS","CRCB","BANKCOMM","JY","NB","PSBC","ICBC","ABC","CCB","PA"
"2010/9/1",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/2",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/3",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/6",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/7",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/8",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/9",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/10",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/13",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/14",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/15",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/16",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/17",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/20",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/21",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/27",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/28",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/29",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/9/30",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/8",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/11",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/12",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/13",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/14",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/15",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/18",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/19",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/20",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/21",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
